TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
Felipp;46133;PN;FT;;;yes;APLN;;;;FOUND
Seuilla;46151;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Johan;46174;PN;FT;;;yes;APLN;;;;FOUND
Toledo;46194;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Aboabdille;46216;PPN;PPT;;;yes;APLN;;;;VALIDATE
Nazar;46233;PLN;FT;http://sws.geonames.org/6359730; ;not; ; ;null;Geonames;FOUND
Granada;46246;PLN;FT;http://sws.geonames.org/6357709;Gorad Granada,Grana,Granaada,Granada,Granado,Granata,Graná,Grenada,Grenade,Lungsod ng Granada,Qranada,garanada,ge la na da,ge lan na da,geulanada,ghrnatt,granada,grndh,guranada,jranada,kiranata,kran a da,Γρανάδα,Горад Гранада,Гранаада,Гранада,Ґранада,Գրանադա,גרנדה,جرانادا,غرناطة,غرناطہ,گرانادا,ग्रानाडा,ग्रानादा,গ্রানাডা,ਗਰਾਨਾਦਾ,கிரனாதா,กรานาดา,გრანადა,ግራናዳ,グラナダ,格拉纳达,格蘭納達,그라나다;not;;;null;Geonames;FOUND
Apparicio;46286;PPN;PPT;;;yes;APLN;;;;VALIDATE
Burgos;46307;PLN;FT;http://sws.geonames.org/6356377;Burgi,Burgos,Burgosas,Burgoso,Burgus,brghsh,brgws,bu er ge si,buleugoseu,bur kos,burugosu,bwrgws,Бургос,Бурґос,برغش,برگوس,بورگوس,บูร์โกส,ブルゴス,布尔戈斯,부르고스;not;;;null;Geonames;FOUND
Pero;46326;PPN;PPT;;;yes;APLN;;;;VALIDATE
Palencia;46342;PLN;FT;http://sws.geonames.org/6360072; ;not;;;null;Geonames;FOUND
Remondo;46366;PPN;PPT;;;yes;APLN;;;;VALIDATE
Segouia;46385;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Pero;46408;PPN;PPT;;;yes;APLN;;;;VALIDATE
Siguenza;46424;PPLN;PPT;;;not;;;;;VALIDATE
Gil;46448;PPN;PPT;;;yes;APLN;;;;VALIDATE
Osma;46463;PLN;FT;http://sws.geonames.org/3114836;Osma;not;;;null;Geonames;FOUND
Mathe;46483;PPN;PPT;;;yes;APLN;;;;VALIDATE
Cuenca;46500;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Benito;46522;PPN;PPT;;;yes;APLN;;;;VALIDATE
Auila;46540;PLN;FT;http://pleiades.stoa.org/places/236361;Ávila;not;;;null;Freeling;FOUND
Aznar;46561;PPN;PPT;;;yes;APLN;;;;VALIDATE
Calahorra;46578;PLN;FT;http://sws.geonames.org/6359026; ;not;;;null;Geonames;FOUND
Lop;46603;PPN;PPT;;;yes;APLN;;;;VALIDATE
Cordoua;46618;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Adam;46641;PN;FT;;;yes;APLN;;;;FOUND
Plazencia;46657;PPLN;PPT;;;not;;;;;VALIDATE
Pascual;46682;PPN;PPT;;;yes;APLN;;;;VALIDATE
Jahen;46701;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Cartagena;46742;PLN;FT;http://sws.geonames.org/6359521; ;not;;;null;Geonames;FOUND
Pedryuannes;46767;PPN;PPT;;;yes;APLN;;;;VALIDATE
Calatraua;46803;PN;FT;;;;;;;;FOUND
Nunno;46828;PPN;PPT;;;yes;APLN;;;;VALIDATE
Alfonso;46859;PN;FT;;;yes;APLN;;;;FOUND
Rodrigo;46888;PPN;PPT;;;yes;APLN;;;;VALIDATE
Symon;46921;PN;FT;;;yes;APLN;;;;FOUND
Royz;46927;PN;FT;;;;;;;;FOUND
Alfonso;46947;PN;FT;;;yes;APLN;;;;FOUND
Ferrand;46977;PN;FT;;;yes;APLN;;;;FOUND
Royz;46985;PN;FT;;;yes;APLN;;;;FOUND
Castro;46993;PLN;FT;http://pleiades.stoa.org/places/413072;null;yes;PN; ;An ancient place, cited: BAtlas 42 B3 Castro;Pleiades;FOUND
Pero;47015;PPN;PPT;;;yes;APLN;;;;VALIDATE
Nunnez;47020;PN;FT;;;;;;;;FOUND
Nunno;47042;PPN;PPT;;;yes;APLN;;;;VALIDATE
Guillem;47048;PN;FT;;;;;;;;FOUND
Pero;47071;PPN;PPT;;;yes;APLN;;;;VALIDATE
Guzman;47076;PN;FT;;;;;;;;FOUND
Rodrigo;47098;PPN;PPT;;;yes;APLN;;;;VALIDATE
Rodrig;47140;PPN;PPT;;;yes;APLN;;;;VALIDATE
Aluarez;47147;PN;FT;;;;;;;;FOUND
Ferrand;47170;PN;FT;;;yes;APLN;;;;FOUND
Garcia;47178;PN;FT;;;;;;;;FOUND
Alfonso;47200;PN;FT;;;yes;APLN;;;;FOUND
Garcia;47208;PN;FT;;;;;;;;FOUND
Diago;47230;PPN;PPT;;;yes;APLN;;;;VALIDATE
Gomez;47236;PN;FT;;;;;;;;FOUND
Gomez;47257;PN;FT;;;yes;APLN;;;;FOUND
Royz;47263;PN;FT;;;;;;;;FOUND
Gaston;47283;PPN;PPT;;;yes;APLN;;;;VALIDATE
Beart;47303;PPLN;PPT;;;not;;;;;VALIDATE
Gui;47341;PPN;PPT;;;yes;APLN;;;;VALIDATE
Limoges;47358;PPLN;PPT;;;not;;;;;VALIDATE
Iuan;47426;PPN;PPT;;;yes;APLN;;;;VALIDATE
Garcia;47431;PN;FT;;;;;;;;FOUND
Aben;47487;PPN;PPT;;;yes;APLN;;;;VALIDATE
Niebla;47507;PLN;FT;http://sws.geonames.org/6358229; ;not;;;null;Geonames;FOUND
Martin;47546;PN;FT;;;yes;APLN;;;;FOUND
Ferrandez;47553;PN;FT;;;;;;;;FOUND
Leon;47574;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Pero;47594;PPN;PPT;;;yes;APLN;;;;VALIDATE
Ouiedo;47610;PPLN;PPT;;;not;;;;;VALIDATE
Zamora;47642;PLN;FT;http://sws.geonames.org/6362695; ;not;;;null;Geonames;FOUND
Pero;47661;PPN;PPT;;;yes;APLN;;;;VALIDATE
Salamanca;47677;PLN;FT;http://pleiades.stoa.org/places/236642;Salamanca;not;;;null;Freeling;FOUND
Pero;47702;PPN;PPT;;;yes;APLN;;;;VALIDATE
Astorga;47718;PLN;FT;http://sws.geonames.org/6358559;Astorga,Astorgo,Asturica Augusta,Estorga,a si tuo er jia,aseutoleuga,astrqt,astwrkha,asutoruga,Асторга,Աստորգա,آستورخا,أسترقة,アストルガ,阿斯托尔加,아스토르가;not;;;null;Geonames;FOUND
Leonard;47741;PPN;PPT;;;yes;APLN;;;;VALIDATE
Cipdat;47760;PPLN;PPT;;;not;;;;;VALIDATE
Migael;47782;PPN;PPT;;;yes;APLN;;;;VALIDATE
Lugo;47800;PLN;FT;http://sws.geonames.org/6359189;Gorad Luga,Lougo,Lucus Augusti,Lugas,Lugo,Lugu,lu gao,lu ge,lu ko,lugo,luko,lwghw,lwgw,rugo,Λούγο,Горад Луга,Луго,Լուգո,לוגו,لوغو,لوگو,लूगो,லுகோ,ลูโก,ლუგო,ሉጎ,ルーゴ,卢戈,盧高,루고;not;;;null;Geonames;FOUND
Johan;47820;PN;FT;;;yes;APLN;;;;FOUND
Orens;47837;PPLN;GENT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/992080;null;not;;;An ancient place, cited: BAtlas 101 M6 Oriens;Pleiades;VALIDATE
Gil;47858;PPN;PPT;;;yes;APLN;;;;VALIDATE
Tuy;47873;PPLN;GENT;http://sws.geonames.org/6360252;Tuj,Tuy,to~ui,tu yi,twy,Туй,توي,توی,トゥイ,图伊;not;;;null;Geonames;VALIDATE
Johan;47892;PN;FT;;;yes;APLN;;;;FOUND
Mendonedo;47909;PPLN;PPT;;;not;;;;;VALIDATE
Pero;47934;PPN;PPT;;;yes;APLN;;;;VALIDATE
Coria;47950;PLN;FT;http://sws.geonames.org/6356764;Coria,Còria,Cória,Koria,Korija,ke li ya,qwryt,Кория,Корія,Կորիա,قورية,科里亚;not;;;null;Geonames;FOUND
Silue;47993;PPLN;GENT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/688028;null;not;;;An ancient place, cited: BAtlas 70 G1 Silo;Pleiades;VALIDATE
Pelay;48014;PPN;PPT;;;yes;APLN;;;;VALIDATE
Perez;48020;PN;FT;;;;;;;;FOUND
Sanctyago;48050;PPLN;PPT;;;not;;;;;VALIDATE
Rodrigo;48075;PPN;PPT;;;yes;APLN;;;;VALIDATE
Alfonso;48083;PN;FT;;;;;;;;FOUND
Martin;48106;PN;FT;;;yes;APLN;;;;FOUND
Alfonso;48113;PN;FT;;;;;;;;FOUND
Rodrigo;48136;PPN;PPT;;;yes;APLN;;;;VALIDATE
Gomez;48144;PN;FT;;;;;;;;FOUND
Rodrigo;48165;PPN;PPT;;;yes;APLN;;;;VALIDATE
Johan;48195;PN;FT;;;yes;APLN;;;;FOUND
Perez;48201;PN;FT;;;;;;;;FOUND
Ferrand;48222;PN;FT;;;yes;APLN;;;;FOUND
Martin;48253;PN;FT;;;yes;APLN;;;;FOUND
Gil;48260;PLN;FT;http://sws.geonames.org/10055472; ;not;;;null;Geonames;FOUND
Andreo;48279;PPN;PPT;;;yes;APLN;;;;VALIDATE
Sanctiago;48301;PPLN;PPT;;;not;;;;;VALIDATE
Gonzaluo;48326;PPN;PPT;;;yes;APLN;;;;VALIDATE
Rodrigo;48358;PPN;PPT;;;yes;APLN;;;;VALIDATE
Rodriguez;48366;PN;FT;;;;;;;;FOUND
Aluar;48391;PN;FT;;;yes;APLN;;;;FOUND
Diaz;48397;PN;FT;;;;;;;;FOUND
Pelay;48417;PPN;PPT;;;yes;APLN;;;;VALIDATE
Perez;48423;PN;FT;;;;;;;;FOUND
Sancho;48491;PN;FT;;;yes;APLN;;;;FOUND
Martinez;48498;PN;FT;;;yes;APLN;;;;FOUND
Xodar;48510;PPLN;PPT;;;not;;;;;VALIDATE
Garci;48553;PN;FT;;;;;;;;FOUND
Perez;48559;PN;FT;;;;;;;;FOUND
Toledo;48568;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Suero;48714;PPN;PPT;;;yes;APLN;;;;VALIDATE
Perez;48720;PN;FT;;;;;;;;FOUND
Johan;48761;PN;FT;;;;;;;;FOUND
Perez;48767;PN;FT;;;;;;;;FOUND
Cuenca;48776;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Alfonso;48827;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Alfonso;48916;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;48941;PN;FT;;;;;;;;FOUND
Castiella;48954;PLN;FT; ;Castilla;not;;; ;Medieval;FOUND
Toledo;48967;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;; ;Medieval;FOUND
Leon;48977;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;; ;Medieval;FOUND
Gallizia;48985;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;; ;Medieval;FOUND
Seuilla;48997;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;49008;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;; ;Medieval;FOUND
Murcia;49019;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jahen;49031;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;; ;Medieval;FOUND
Yolant;49064;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Berenguella;49114;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Beatriz;49145;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10241696;null;Geonames;FOUND
Sancho;49175;PN;FT; ; ;yes;APLN;http://sws.geonames.org/9170929;null;Geonames;FOUND
Dios;49199;PN;FT;;;;;;;;FOUND
